Абхазия	Абхаз&#1110;я
извещён	изв&#1123;щёнъ
извеять	изв&#1123;ять
извинение	извинен&#1110;е
извлечение	извлечен&#1110;е
извне	извн&#1123;
изволение	изволен&#1110;е
извращение	извращен&#1110;е
изгнание	изгнан&#1110;е
изготовление	изготовлен&#1110;е
издание	издан&#1110;е
издательские	издательск&#1110;е
издательский	издательск&#1110;й
издевательские	изд&#1123;вательск&#1110;е
издевательский	изд&#1123;вательск&#1110;й
издевательство	изд&#1123;вательство
издеваться	изд&#1123;ваться
изделие	изд&#1123;л&#1110;е
издетства	изд&#1123;тства
издёвка	изд&#1123;вка
излениться	изл&#1123;ниться
излесок	изл&#1123;сокъ
излечение	изл&#1123;чен&#1110;е
излеченный	изл&#1123;ченный
излеченый	изл&#1123;ченый
излечимся	изл&#1123;чимся
излечитесь	изл&#1123;читесь
излечится	изл&#1123;чится
излечить	изл&#1123;чить
излечиться	изл&#1123;читься
излечишься	изл&#1123;чишься
излитие	излит&#1110;е
излишние	излишн&#1110;е
излишний	излишн&#1110;й
излияние	изл&#1110;ян&#1110;е
изложение	изложен&#1110;е
излучение	излучен&#1110;е
измеливать	изм&#1123;ливать
измельчание	измельчан&#1110;е
измена	изм&#1123;на
изменение	изм&#1123;нен&#1110;е
изменил	изм&#1123;нилъ
изменилось	изм&#1123;нилось
изменился	изм&#1123;нился
изменится	изм&#1123;нится
изменить	изм&#1123;нить
измениться	изм&#1123;ниться
изменник	изм&#1123;нникъ
изменять	изм&#1123;нять
изменённый	изм&#1123;нённый
измерение	изм&#1123;рен&#1110;е
измеренный	изм&#1123;ренный
измерить	изм&#1123;рить
измождение	изможден&#1110;е
изнеженный	изн&#1123;женный
изнеможение	изнеможен&#1110;е
изнурение	изнурен&#1110;е
изобидеть	изобид&#1123;ть
изобилие	изобил&#1110;е
изобилующий	изобилующ&#1110;й
изобличение	изобличен&#1110;е
изображение	изображен&#1110;е
изобрести	изобр&#1123;сти
изобретатель	изобр&#1123;татель
изобретательница	изобр&#1123;тательница
изобретательно	изобр&#1123;тательно
изобретательного	изобр&#1123;тательнаго
изобретательное	изобр&#1123;тательное
изобретательные	изобр&#1123;тательные
изобретательный	изобр&#1123;тательный
изобретать	изобр&#1123;тать
изобретение	изобр&#1123;тен&#1110;е
изобретён	изобр&#1123;тёнъ
изобретённая	изобр&#1123;тённая
изобретённое	изобр&#1123;тённое
изобретённые	изобр&#1123;тённые
изобретённый	изобр&#1123;тённый
изобрёл	изобр&#1123;лъ
изография	изограф&#1110;я
изомерия	изомер&#1110;я
изощрение	изощрен&#1110;е
изредить	изр&#1123;дить
изредка	изр&#1123;дка
изрезанный	изр&#1123;занный
изрезать	изр&#1123;зать
изречение	изречен&#1110;е
изрешетить	изр&#1123;шетить
изрешечённый	изр&#1123;шечённый
изряднее	изрядн&#1123;е
изрядненький	изрядненьк&#1110;й
изрёкший	изрёкш&#1110;й
изувер	изув&#1123;ръ
изувечение	изув&#1123;чен&#1110;е
изувечить	изув&#1123;чить
изумление	изумлен&#1110;е
изучение	изучен&#1110;е
изъеденный	изъ&#1123;денный
изъездить	изъ&#1123;здить
изъезженный	изъ&#1123;зженный
изъесть	изъ&#1123;сть
изъявление	изъявлен&#1110;е
изъязвление	изъязвлен&#1110;е
изъяснение	изъяснен&#1110;е
изъятие	изъят&#1110;е
изыскание	изыскан&#1110;е
изысканнее	изысканн&#1123;е
изящнее	изящн&#1123;е
иконоборческий	иконоборческ&#1110;й
иконография	иконограф&#1110;я
икос	&#1110;косъ
иллюзион	иллюз&#1110;онъ
иллюзия	иллюз&#1110;я
иллюминация	иллюминац&#1110;я
иллюстрация	иллюстрац&#1110;я
имевшего	им&#1123;вшаго
имевшегося	им&#1123;вшагося
имевшей	им&#1123;вшей
имевшейся	им&#1123;вшейся
имевшем	им&#1123;вшемъ
имевшие	им&#1123;вш&#1110;е
имевшиеся	им&#1123;вш&#1110;еся
имевший	им&#1123;вш&#1110;й
имевшийся	им&#1123;вш&#1110;йся
имевших	им&#1123;вшихъ
имевшую	им&#1123;вшую
имевшуюся	им&#1123;вшуюся
имеем	им&#1123;емъ
имеет	им&#1123;етъ
имеете	им&#1123;ете
имеется	им&#1123;ется
имеешь	им&#1123;ешь
имейте	им&#1123;йте
имел	им&#1123;лъ
имела	им&#1123;ла
имелась	им&#1123;лась
имели	им&#1123;ли
имелись	им&#1123;лись
имело	им&#1123;ло
имелось	им&#1123;лось
имелся	им&#1123;лся
имение	им&#1123;н&#1110;е
именословие	именослов&#1110;е
именующий	именующ&#1110;й
иметь	им&#1123;ть
иметься	им&#1123;ться
имею	им&#1123;ю
имеют	им&#1123;ютъ
имеются	им&#1123;ются
имеющая	им&#1123;ющая
имеющаяся	им&#1123;ющаяся
имеющего	им&#1123;ющаго
имеющегося	им&#1123;ющагося
имеющее	им&#1123;ющее
имеющееся	им&#1123;ющееся
имеющем	им&#1123;ющемъ
имеющие	им&#1123;ющ&#1110;е
имеющиеся	им&#1123;ющ&#1110;еся
имеющий	им&#1123;ющ&#1110;й
имеющийся	им&#1123;ющ&#1110;йся
имеющую	им&#1123;ющую
имеющуюся	им&#1123;ющуюся
имея	им&#1123;я
имитация	имитац&#1110;я
императорские	императорск&#1110;е
императорский	императорск&#1110;й
империал	импер&#1110;алъ
империализм	импер&#1110;ализмъ
империи	импер&#1110;и
империя	импер&#1110;я
имперские	имперск&#1110;е
имперский	имперск&#1110;й
импотенция	импотенц&#1110;я
импресарио	импресар&#1110;о
импрессионизм	импресс&#1110;онизмъ
импровизация	импровизац&#1110;я
имущие	имущ&#1110;е
имущий	имущ&#1110;й
инаугурация	инавгурац&#1110;я
инвариант	инвар&#1110;антъ
инвенция	инвенц&#1110;я
инверсия	инверс&#1110;я
инвестиция	инвестиц&#1110;я
ингредиент	ингред&#1110;ентъ
инде	инд&#1123;
индеветь	индев&#1123;ть
индеец	инд&#1123;ецъ
индейка	инд&#1123;йка
индейские	инд&#1123;йск&#1110;е
индейский	инд&#1123;йск&#1110;й
индейского	инд&#1123;йскаго
индейское	инд&#1123;йское
индейцев	инд&#1123;йцевъ
индейцем	инд&#1123;йцемъ
индексация	индексац&#1110;я
индексирование	индексирован&#1110;е
индиец	инд&#1110;ецъ
индийские	инд&#1110;йск&#1110;е
индийский	инд&#1110;йск&#1110;й
индийское	инд&#1110;йское
индийцев	инд&#1110;йцевъ
индийцем	инд&#1110;йцемъ
индоевропейский	индо-европейск&#1110;й
индульгенция	индульгенц&#1110;я
индустриализация	индустр&#1110;ализац&#1110;я
индустриального	индустр&#1110;альнаго
индустриальное	индустр&#1110;альное
индустриальные	индустр&#1110;альные
индустриальный	индустр&#1110;альный
индустрия	индустр&#1110;я
инерция	инерц&#1110;я
инженерия	инженер&#1110;я
инициал	иниц&#1110;алъ
инициатива	иниц&#1110;атива
инициатор	иниц&#1110;аторъ
инквизиция	инквизиц&#1110;я
иннервация	иннервац&#1110;я
иноверец	инов&#1123;рецъ
иноверие	инов&#1123;р&#1110;е
иноверческий	инов&#1123;рческ&#1110;й
иногородний	иногородн&#1110;й
иноческий	иноческ&#1110;й
инсинуация	инсинуац&#1110;я
инспекция	инспекц&#1110;я
инспирация	инспирац&#1110;я
инструкция	инструкц&#1110;я
интеграция	интеграц&#1110;я
интеллектуальнее	интеллектуальн&#1123;е
интеллигенция	интеллигенц&#1110;я
интенсивнее	интенсивн&#1123;е
интенционализм	интенц&#1110;онализмъ
интервенция	интервенц&#1110;я
интереснее	интересн&#1123;е
интереснейший	интересн&#1123;йш&#1110;й
интересующие	интересующ&#1110;е
интерлюдия	интерлюд&#1110;я
интермедия	интермед&#1110;я
интернационал	интернац&#1110;оналъ
интернационализм	интернац&#1110;онализмъ
интернациональный	интернац&#1110;ональный
интерпелляция	интерпелляц&#1110;я
интерполяция	интерполяц&#1110;я
интерпретация	интерпретац&#1110;я
интерпунктация	интерпунктац&#1110;я
интерстициальный	интерстиц&#1110;альный
интерференция	интерференц&#1110;я
интерцессия	интерцесс&#1110;я
интуиция	интуиц&#1110;я
инфантерия	инфантер&#1110;я
инфекция	инфекц&#1110;я
инферии	инфер&#1110;и
инфлексия	инфлекц&#1110;я
информационные	информац&#1110;онные
информация	информац&#1110;я
инфузория	инфузор&#1110;я
инъекция	инъекц&#1110;я
инъюнкция	инъюнкц&#1110;я
иомены	&#1110;омены
ион	&#1110;онъ
иониец	&#1110;он&#1110;ецъ
ионический	&#1110;оническ&#1110;й
иордань	&#1110;ордань
иподиакон	ипод&#1110;аконъ
ирмологий	ирмолог&#1110;й
иронические	ироническ&#1110;е
иронический	ироническ&#1110;й
ироничнее	ироничн&#1123;е
ирония	ирон&#1110;я
искажение	искажен&#1110;е
искалеченный	искал&#1123;ченный
искалечить	искал&#1123;чить
искание	искан&#1110;е
исключение	исключен&#1110;е
искоренение	искоренен&#1110;е
искрение	искрен&#1110;е
искреннее	искренн&#1123;е
искренние	искренн&#1110;е
искренний	искренн&#1110;й
искривление	искривлен&#1110;е
искупление	искуплен&#1110;е
искуснее	искусн&#1123;е
искуснейшие	искусн&#1123;йш&#1110;е
искуснейший	искусн&#1123;йш&#1110;й
искусствовед	искусствов&#1123;дъ
искусствоведение	искусствов&#1123;д&#1123;н&#1110;е
искушение	искушен&#1110;е
испанский	испанск&#1110;й
испарение	испарен&#1110;е
испещрение	испещрен&#1110;е
исповедальный	испов&#1123;дальный
исповедание	испов&#1123;дан&#1110;е
исповедать	испов&#1123;дать
исповедаться	испов&#1123;даться
исповедник	испов&#1123;дникъ
исповедный	испов&#1123;дный
исповедовать	испов&#1123;дывать
исповедоваться	испов&#1123;доваться
исповедь	испов&#1123;дь
исподний	исподн&#1110;й
исполнение	исполнен&#1110;е
исправление	исправлен&#1110;е
испражнение	испражнен&#1110;е
испытание	испытан&#1110;е
испытанием	испытан&#1110;емъ
испытания	испытан&#1110;я
иссекать	изс&#1123;кать
иссера-голубой	изс&#1123;ра-голубой
иссечение	изс&#1123;чен&#1110;е
иссиза-синий	изсиза-син&#1110;й
исследование	изсл&#1123;дован&#1110;е
исследованного	изсл&#1123;дованнаго
исследованное	изсл&#1123;дованное
исследованные	изсл&#1123;дованные
исследованный	изсл&#1123;дованный
исследователь	изсл&#1123;дователь
исследовательский	изсл&#1123;довательск&#1110;й
исследовать	изсл&#1123;довать
исследуем	изсл&#1123;дуемъ
исследуемый	изсл&#1123;дуемый
исследует	изсл&#1123;дуетъ
исследуешь	изсл&#1123;дуешь
исследуют	изсл&#1123;дуютъ
исстрелять	изстр&#1123;лять
исступление	изступлен&#1110;е
иссякшие	изсякш&#1110;е
иссякший	изсякш&#1110;й
истерический	истерическ&#1110;й
истерия	истер&#1110;я
истечение	истечен&#1110;е
истлевать	истл&#1123;вать
истлеть	истл&#1123;ть
истмийские	истм&#1110;йск&#1110;я
историей	истор&#1110;ей
историография	истор&#1110;ограф&#1110;я
исторические	историческ&#1110;е
исторический	историческ&#1110;й
история	истор&#1110;я
истощение	истощен&#1110;е
истребление	истреблен&#1110;е
иступление	иступлен&#1110;е
истязание	истязан&#1110;е
истёкший	истёкш&#1110;й
истёршийся	истёрш&#1110;йся
исхождение	исхожден&#1110;е
исхуделый	исхуд&#1123;лый
исцеление	исц&#1123;лен&#1110;е
исцелил	исц&#1123;лилъ
исцелить	исц&#1123;лить
исцелять	исц&#1123;лять
исцелённый	исц&#1123;лённый
исчадие	исчад&#1110;е
исчезновение	исчезновен&#1110;е
исчерпывающий	исчерпывающ&#1110;й
исчисление	исчислен&#1110;е
италиец	итал&#1110;ецъ
италийский	итал&#1110;йск&#1110;й
итальянские	итал&#1110;анск&#1110;е
итальянский	итал&#1110;анск&#1110;й
итальянское	итал&#1110;анское
итожение	итожен&#1110;е
иттербий	итерб&#1110;й
иттрий	итр&#1110;й
иудаизм	&#1110;удаизмъ
иудеев	&#1110;удеевъ
иудеек	&#1110;удеекъ
иудей	&#1110;удей
иудейка	&#1110;удейка
иудейская	&#1110;удейская
иудейские	&#1110;удейск&#1110;е
иудейский	&#1110;удейск&#1110;й
иудейскими	&#1110;удейскими
иудейских	&#1110;удейскихъ
иудейского	&#1110;удейскаго
иудейскую	&#1110;удейскую
иудейство	&#1110;удейство
иудеями	&#1110;удеями
ифимб	и&#1139;имбъ
ифифаллы	и&#1139;ифаллы
ихний	ихн&#1110;й
ихтиозавр	ихт&#1110;озавръ
ихтиология	ихт&#1110;олог&#1110;я
ишемия	ишем&#1110;я
ишиас	иш&#1110;асъ
июль	&#1110;юль
июнь	&#1110;юнь
йети	&#1110;ети
йог	&#1110;огъ
йога	&#1110;ога
йогурт	&#1110;огуртъ
йогуртовый	&#1110;огуртовый
йод	&#1110;одъ
йодат	&#1110;одатъ
йодид	&#1110;одидъ
йодинол	&#1110;одинолъ
йодированный	&#1110;одированный
йодисто-водородный	&#1110;одисто-водородный
йодистый	&#1110;одистый
йота	&#1110;ота
Каиафа	Ка&#1110;афа
Кайафа	Ка&#1110;афа
Калабрия	Калабр&#1110;я
Каледония	Каледон&#1110;я
Калерия	Калер&#1110;я
Каллиопа	Калл&#1110;опа
Каллисфен	Каллис&#1139;енъ
Каменец-Подольский	Каменецъ-Подольск&#1110;й
Кандия	Канд&#1110;я
Карелия	Карел&#1110;я
Карибские	Караибск&#1110;е
Карфаген	Кар&#1139;агенъ
Каспийское	Касп&#1110;йское
Кассий	Касс&#1110;й
Кассиодор	Касс&#1110;одоръ
Кафа	Ка&#1139;а
Кахетия	Кахет&#1110;я
Келецкая	К&#1123;лецкая
Кельцы	К&#1123;льцы
Кения	Кен&#1110;я
Керенский	Керенск&#1110;й
Керченский	Керченск&#1110;й
Кефалония	Кефалон&#1110;я
Киев	К&#1110;евъ
Киево-Печерская	К&#1110;ево-Печерская
Кий	К&#1110;й
Киликия	Килик&#1110;я
Киото	К&#1110;ото
Киприан	Кипр&#1110;анъ
Киреевский	Кир&#1123;евск&#1110;й
Клавдиан	Клавд&#1110;анъ
Клавдий	Клавд&#1110;й
Клавдия	Клавд&#1110;я
Клио	Кл&#1110;о
Ковалевский	Ковалевск&#1110;й
Колумбия	Колумб&#1110;я
Кондратий	Кондрат&#1110;й
Конецпольский	Конецпольск&#1110;й
Конфуций	Конфуц&#1110;й
Коринф	Корин&#1139;ъ
Корнилий	Корнил&#1110;й
Корреджо	Корредж&#1110;о
Котляревский	Котляревск&#1110;й
Крестовоздвиженский	Крестовоздвиженск&#1110;й
Крещение	Крещен&#1110;е
Кривоколенный	Кривокол&#1123;нный
Ксаверий	Ксавер&#1110;й
Ксанф	Ксан&#1139;ъ
Ксанфий	Ксан&#1139;&#1110;й
Ксанфиппа	Ксан&#1139;иппа
Ксения	Ксен&#1110;я
Куопио	Куоп&#1110;о
Куприян	Купр&#1110;янъ
изделия	кондитерск&#1110;я
кабаление	кабален&#1110;е
кабацкий	кабацк&#1110;й
кабриолет	кабр&#1110;олетъ
кабриоль	кабр&#1110;оль
кавалерия	кавалер&#1110;я
кавказские	кавказск&#1110;е
каденция	каденц&#1110;я
кадетский	кадетск&#1110;й
кадмий	кадм&#1110;й
каждение	кажден&#1110;е
казацкий	казацк&#1110;й
казачий	казач&#1110;й
казначейский	казначейск&#1110;й
казнодей	казнод&#1123;й
кайеннский	кайеннск&#1110;й
какие	как&#1110;е
какие-то	как&#1110;е-то
какофонический	какофоническ&#1110;й
какофония	какофон&#1110;я
калека	кал&#1123;ка
калечащий	кал&#1123;чащ&#1110;й
калечащийся	кал&#1123;чащ&#1110;йся
калечение	кал&#1123;чен&#1110;е
калеченный	кал&#1123;ченный
калеченый	кал&#1123;ченый
калечить	кал&#1123;чить
калечиться	кал&#1123;читься
калечишь	кал&#1123;чишь
калечишься	кал&#1123;чишься
калечные	кал&#1123;чные
калечный	кал&#1123;чный
калиевый	кал&#1110;евый
каллиграфия	каллиграф&#1110;я
камбий	камб&#1110;й
камелия	камел&#1110;я
каменение	камен&#1123;н&#1110;е
каменеть	камен&#1123;ть
каменосек	каменос&#1123;къ
камерарий	камерар&#1110;й
кампания	кампан&#1110;я
канализация	канализац&#1110;я
канонический	каноническ&#1110;й
канцелярия	канцеляр&#1110;я
капиталоёмкий	капиталоёмк&#1110;й
капитуляция	капитуляц&#1110;я
кардиология	кард&#1110;олог&#1110;я
карельский	карельск&#1110;й
кариатида	кар&#1110;атида
карие	кар&#1110;е
кариес	кар&#1110;есъ
карий	кар&#1110;й
касающиеся	касающ&#1110;еся
касающийся	касающ&#1110;йся
кассация	кассац&#1110;я
катавасия	катавас&#1110;я
каталепсия	каталепс&#1110;я
катание	катан&#1110;е
катастрофический	катастрофическ&#1110;й
категориальный	категор&#1110;альный
категорией	категор&#1110;ей
категоризация	категоризац&#1110;я
категорийный	категор&#1110;йный
категорические	категорическ&#1110;е
категорический	категорическ&#1110;й
категоричнее	категоричн&#1123;е
категория	категор&#1110;я
католический	католическ&#1110;й
кафедра	ка&#1139;едра
кафедральный	ка&#1139;едральный
кафетерий	кафетер&#1110;й
кафизма	ка&#1139;изма
кафолический	ка&#1139;олическ&#1110;й
кахексия	кахекс&#1110;я
качание	качан&#1110;е
качественнее	качественн&#1123;е
кают-компания	каютъ-компан&#1110;я
квалификация	квалификац&#1110;я
квашение	квашен&#1110;е
квиетизм	кв&#1110;етизмъ
квинтэссенция	квинтъ-эссенц&#1110;я
квитанция	квитанц&#1110;я
келиот	кел&#1110;отъ
кельтский	кельтск&#1110;й
кем	к&#1123;мъ
кем-либо	к&#1123;мъ-либо
кем-нибудь	к&#1123;мъ-нибудь
кем-то	к&#1123;мъ-то
кемперский	кемперск&#1110;й
киевляне	к&#1110;евляне
киевские	к&#1110;евск&#1110;е
киевский	к&#1110;евск&#1110;й
киевского	к&#1110;евскаго
киевское	к&#1110;евское
кий	к&#1110;й
килевание	килеван&#1110;е
кинологический	кинологическ&#1110;й
киоск	к&#1110;оскъ
киоскёр	к&#1110;оскёръ
киоскёрша	к&#1110;оскёрша
киот	к&#1110;отъ
кипел	кип&#1123;лъ
кипелка	кип&#1123;лка
кипение	кип&#1123;н&#1110;е
кипеть	кип&#1123;ть
кипячение	кипячен&#1110;е
кир	к&#1141;ръ
кислее	кисл&#1123;е
кислеть	кисл&#1123;ть
китайские	китайск&#1110;е
китайский	китайск&#1110;й
кифара	ки&#1139;ара
кишеть	киш&#1123;ть
киянка	к&#1110;янка
клавиатура	клав&#1110;атура
кладбищенские	кладбищенск&#1110;е
кладбищенский	кладбищенск&#1110;й
классификация	классификац&#1110;я
классические	классическ&#1110;е
классический	классическ&#1110;й
клеймение	клеймен&#1110;е
клептомания	клептоман&#1110;я
клетка	кл&#1123;тка
клеточный	кл&#1123;точный
клетчатка	кл&#1123;тчатка
клеть	кл&#1123;ть
клиент	кл&#1110;энтъ
кляузнический	кляузническ&#1110;й
книгопечатание	книгопечатан&#1110;е
княжение	княжен&#1110;е
княжеские	княжеск&#1110;е
княжеский	княжеск&#1110;й
княжий	княж&#1110;й
коварнее	коварн&#1123;е
ковкий	ковк&#1110;й
кое-где	кое-гд&#1123;
кое-чем	кое-ч&#1123;мъ
кознодей	кознод&#1123;й
коие	ко&#1110;е
коий	ко&#1110;й
кой-где	кой-гд&#1123;
кой-чем	кой-ч&#1123;мъ
колебания	колебан&#1110;я
колена	кол&#1123;на
колени	кол&#1123;ни
коленный	кол&#1123;нный
колено	кол&#1123;но
коленопреклонённый	кол&#1123;нопреклонённый
коленце	кол&#1123;нце
коленчатый	кол&#1123;нчатый
коленья	кол&#1123;нья
колесование	колесован&#1110;е
колеть	кол&#1123;ть
колкие	колк&#1110;е
колкий	колк&#1110;й
коллегиальный	коллег&#1110;альный
коллегия	коллег&#1110;я
коллежский	коллежск&#1110;й
коллективизация	коллективизац&#1110;я
коллекционер	коллекц&#1110;онеръ
коллекционирование	коллекц&#1110;онирован&#1110;е
коллекция	коллекц&#1110;я
коллизия	коллиз&#1110;я
коллоквиум	коллокв&#1110;умъ
колоброжение	колоброжен&#1110;е
коломенский	коломенск&#1110;й
колониальные	колон&#1110;альные
колония	колон&#1110;я
колочение	колочен&#1110;е
колченогий	колченог&#1110;й
командирские	командирск&#1110;е
комбинация	комбинац&#1110;я
комедия	комед&#1110;я
комиссионер	комисс&#1110;онеръ
комиссия	комисс&#1110;я
комический	комическ&#1110;й
комментарии	комментар&#1110;и
комментарий	комментар&#1110;й
коммерции	коммерц&#1110;и
коммерция	коммерц&#1110;я
коммерческий	коммерческ&#1110;й
коммунистический	коммунистическ&#1110;й
компанейский	компанейск&#1110;й
компания	компан&#1110;я
компатриот	компатр&#1110;отъ
компенсация	компенсац&#1110;я
компетенция	компетенц&#1110;я
комплекция	комплекц&#1110;я
композиция	композиц&#1110;я
комфортнее	комфортн&#1123;е
конвекция	конвекц&#1110;я
конвенция	конвенц&#1110;я
конвергенция	конвергенц&#1110;я
конверсия	конверс&#1110;я
конвертация	конвертац&#1110;я
конвульсия	конвульс&#1110;я
конгенерический	конгенерическ&#1110;й
конгениальный	конген&#1110;альный
конгестия	конгест&#1110;я
конгрегация	конгрегац&#1110;я
кондитерские	кондитерск&#1110;е
кондитерский	кондитерск&#1110;й
кондиция	кондиц&#1110;я
конический	коническ&#1110;й
конкретизация	конкретизац&#1110;я
конкретнее	конкретн&#1123;е
конкуренция	конкуренц&#1110;я
конногвардейский	конногвардейск&#1110;й
конножелезная	конножел&#1123;зная
консерватория	консерватор&#1110;я
консилиум	консил&#1110;умъ
консистенция	консистенц&#1110;я
консистория	консистор&#1110;я
конские	конск&#1110;е
конский	конск&#1110;й
конспирация	конспирац&#1110;я
констатация	констатац&#1110;я
констатирование	констатирован&#1110;е
конституция	конституц&#1110;я
консультация	консультац&#1110;я
консультирование	консультирован&#1110;е
конторские	конторск&#1110;е
контрастнее	контрастн&#1123;е
контроверсия	контроверс&#1110;я
контрреволюция	контръ-революц&#1110;я
конфедерация	конфедерац&#1110;я
конференция	конференц&#1110;я
конфессия	конфесс&#1110;я
конфиденциально	конфиденц&#1110;ально
конфискация	конфискац&#1110;я
конфузия	конфуз&#1110;я
концентрация	концентрац&#1110;я
концентрический	концентрическ&#1110;й
концепция	концепц&#1110;я
концессия	концесс&#1110;я
конъюнкция	конъюнкц&#1110;я
конюший	конюш&#1110;й
кооперация	кооперац&#1110;я
копия	коп&#1110;я
коптелка	копт&#1123;лка
коптеть	копт&#1123;ть
кораблекрушение	кораблекрушен&#1110;е
кораблестроение	кораблестроен&#1110;е
кордегардия	кордегард&#1110;я
корейский	корейск&#1110;й
кориандр	кор&#1110;андръ
коринфяне	корин&#1139;яне
кормление	кормлен&#1110;е
корнерез	корнер&#1123;зъ
короед	коро&#1123;дъ
коронация	коронац&#1110;я
коротенький	коротеньк&#1110;й
короткий	коротк&#1110;й
корпеть	корп&#1123;ть
корпия	корп&#1110;я
корпорация	корпорац&#1110;я
корпуленция	корпуленц&#1110;я
корреляция	коррелац&#1110;я
корреспонденция	корреспонденц&#1110;я
корчение	корчен&#1110;е
косеть	кос&#1123;ть
косметический	косметическ&#1110;й
космический	космическ&#1110;й
коснеть	косн&#1123;ть
костенеть	костен&#1123;ть
костоеда	косто&#1123;да
котерия	котер&#1110;я
кофеварение	кофеварен&#1110;е
кофий	коф&#1110;й
кофию	коф&#1110;ю
коченеть	кочен&#1123;ть
кошачий	кошач&#1110;й
кошение	кошен&#1110;е
коэффициент	коэффиц&#1110;ентъ
краевед	краев&#1123;дъ
краеведение	краев&#1123;д&#1123;н&#1110;е
краеведческий	краев&#1123;дческ&#1110;й
крайние	крайн&#1110;е
крайний	крайн&#1110;й
красивее	красив&#1123;е
красивенький	красивеньк&#1110;й
красневший	красн&#1123;вш&#1110;й
краснее	красн&#1123;е
краснеет	красн&#1123;етъ
краснеется	красн&#1123;ется
краснейший	красн&#1123;йш&#1110;й
красненький	красненьк&#1110;й
краснеть	красн&#1123;ть
краснеют	красн&#1123;ютъ
краснолесье	краснол&#1123;сье
красноречивое	краснор&#1123;чивое
красноречивые	краснор&#1123;чивые
красноречивый	краснор&#1123;чивый
красноречие	краснор&#1123;ч&#1110;е
краснощёкий	краснощёк&#1110;й
краткие	кратк&#1110;е
краткий	кратк&#1110;й
кратчайший	кратчайш&#1110;й
крахмаление	крахмален&#1110;е
крематорий	крематор&#1110;й
кремация	кремац&#1110;я
кремлёвские	кремлёвск&#1110;е
кремлёвский	кремлёвск&#1110;й
кремниевый	кремн&#1110;евый
кремний	кремн&#1110;й
кремнистее	кремнист&#1123;е
кренология	кренолог&#1110;я
крепись	кр&#1123;пись
крепитация	крепитац&#1110;я
крепитесь	кр&#1123;питесь
крепится	кр&#1123;пится
крепить	кр&#1123;пить
крепиться	кр&#1123;питься
крепкие	кр&#1123;пк&#1110;е
крепкий	кр&#1123;пк&#1110;й
крепко	кр&#1123;пко
крепко-накрепко	кр&#1123;пко-на-кр&#1123;пко
крепкого	кр&#1123;пкаго
крепкое	кр&#1123;пкое
крепление	кр&#1123;плен&#1110;е
креплёный	кр&#1123;плёный
крепнет	кр&#1123;пнетъ
крепостнический	кр&#1123;постническ&#1110;й
крепостного	кр&#1123;постного
крепостное	кр&#1123;постное
крепостной	кр&#1123;постной
крепостные	кр&#1123;постные
крепость	кр&#1123;пость
крепчайшего	кр&#1123;пчайшаго
крепчайшее	кр&#1123;пчайшее
крепчайшие	кр&#1123;пчайш&#1110;е
крепчайший	кр&#1123;пчайш&#1110;й
крепчать	кр&#1123;пчать
крепче	кр&#1123;пче
крепыш	кр&#1123;пышъ
крепь	кр&#1123;пь
крепёж	кр&#1123;пёжъ
крепёжный	кр&#1123;пёжный
крестоцветный	крестоцв&#1123;тный
крестьянские	крестьянск&#1110;е
крестьянский	крестьянск&#1110;й
крещение	крещен&#1110;е
крещенский	крещенск&#1110;й
кривее	крив&#1123;е
кривейший	крив&#1123;йш&#1110;й
кривенький	кривеньк&#1110;й
криветь	крив&#1123;ть
критерий	критер&#1110;й
критический	критическ&#1110;й
кровообращение	кровообращен&#1110;е
кровопийца	кровоп&#1110;йца
кровосмешение	кровосм&#1123;шен&#1110;е
кровотечение	кровотечен&#1110;е
кроение	кроен&#1110;е
кроме	кром&#1123;
кромешный	кром&#1123;шный
кропление	кроплен&#1110;е
кроткий	кротк&#1110;й
круглее	кругл&#1123;е
кругленький	кругленьк&#1110;й
круглеть	кругл&#1123;ть
круглощёкий	круглощёк&#1110;й
кругосветное	кругосв&#1123;тное
кругосветный	кругосв&#1123;тный
кружение	кружен&#1110;е
крупнее	крупн&#1123;е
крупнейший	крупн&#1123;йш&#1110;й
крупненький	крупненьк&#1110;й
кручение	кручен&#1110;е
крушение	крушен&#1110;е
крымские	крымск&#1110;е
кряхтеть	кряхт&#1123;ть
ксенография	ксенограф&#1110;я
кубический	кубическ&#1110;й
кукушечий	кукушеч&#1110;й
культурнее	культурн&#1123;е
купание	купан&#1110;е
купеческие	купеческ&#1110;е
купеческий	купеческ&#1110;й
курение	курен&#1110;е
курия	кур&#1110;я
куроед	куро&#1123;дъ
курослеп	куросл&#1123;пъ
куценький	куценьк&#1110;й
товары	колон&#1110;альные
Лаврентий	Лаврент&#1110;й
Лакедивские	Лакедивск&#1110;е
Лакония	Лакон&#1110;я
Лапландия	Лапланд&#1110;я
Ларгий	Ларг&#1110;й
Ларион	Лар&#1110;онъ
Лациум	Лац&#1110;умъ
Левиафан	Лев&#1110;а&#1139;анъ
Левий	Лев&#1110;й
Левкий	Левк&#1110;й
Левкозия	Левкоз&#1110;я
Леонтий	Леонт&#1110;й
Лесков	Л&#1123;сковъ
Лествичник	Л&#1123;ствичникъ
Лечхумский	Лечхумск&#1110;й
Лещинский	Лещинск&#1110;й
Лиа	Л&#1110;а
Либерия	Либер&#1110;я
Ливадия	Ливад&#1110;я
Ливия	Лив&#1110;я
